PPT,UNF1,UNF2,UNF4,UNF8,FAM1,FAM2,FAM4,FAM8
202,2.56,0.59,0.59,1.09,2.12,2.56,2.12,0
204,1.53,0.59,2.12,1.03,1.68,1.53,0,0.59
207,2.56,2.12,1.03,2.12,2.56,2.12,1.68,1.03
208,2.12,2.12,2.12,0.51,2.56,2.12,2.12,0
210,2.56,1.53,2.12,2.12,2.56,1.68,1.68,0.59
212,2.56,2.56,1.68,0.51,2.12,2.56,0,0.51
215,2.56,2.56,1.53,-0.51,2.56,0.51,1.53,0
216,2.56,2.56,1.09,0.44,2.56,2.12,1.53,2.56
217,2.56,2.56,2.56,1.09,2.56,2.12,1.53,1.53
218,2.56,2.12,2.12,1.53,2.56,1.09,2.12,0.59
219,2.56,2.56,1.03,1.68,2.56,2.12,2.12,0.51
222,2.56,2.56,1.68,0.59,2.56,1.68,-0.44,-0.44
224,2.56,1.09,2.56,1.09,2.56,1.68,0.44,1.68
225,2.12,2.12,2.12,0.51,1.53,1.53,1.53,1.03
226,2.12,2.56,1.68,2.12,2.56,2.56,2.12,1.53
227,2.56,2.12,-1.03,-0.44,2.56,2.56,1.09,1.09
230,2.56,2.12,1.68,-0.59,2.56,2.56,1.09,0.51
232,1.68,2.56,1.68,0.59,2.56,1.53,0.44,1.53
233,2.56,1.53,1.68,1.68,2.56,2.12,2.12,1.09
234,1.68,0,1.09,0.51,1.68,1.53,1.68,1.09
235,2.56,1.09,2.12,1.03,2.56,2.56,1.53,1.09
236,2.56,1.53,0,0.44,2.12,1.03,-0.59,1.53
238,2.12,2.12,2.12,1.53,2.12,0.44,1.09,1.68
242,2.56,1.03,1.03,0.51,2.56,2.12,1.68,1.03
1,2.56,2.56,1.68,1.68,1.03,2.12,1.03,1.68
2,2.56,2.12,1.68,0,2.12,2.56,1.03,1.53
4,2.12,2.12,2.12,1.09,2.56,2.12,1.53,0
6,2.56,2.56,1.03,0.59,2.56,1.09,0.44,2.12
7,2.56,1.09,1.09,-0.51,2.56,1.53,1.09,1.09
9,2.56,2.12,0,2.12,2.12,2.56,2.56,2.12
10,2.12,1.09,1.09,1.53,1.09,2.12,1.53,0
11,2.56,1.53,2.12,1.68,2.12,2.56,1.53,0.51
12,2.56,1.68,2.12,1.53,2.56,1.68,0.51,0.44
13,2.56,2.12,2.12,2.12,2.56,1.09,0.51,1.09
14,2.56,0.51,2.12,1.68,1.68,1.09,-0.51,0.51
15,2.56,0,2.56,2.12,2.56,2.12,1.53,0.51
16,2.56,2.12,2.56,0.51,2.12,0.51,2.12,2.12
17,2.56,2.12,1.09,-1.09,2.56,2.12,1.09,0.59
18,2.56,2.56,2.56,1.09,2.56,2.12,1.09,-0.59
20,2.56,1.09,1.68,-1.53,2.56,2.56,1.09,1.53
21,1.03,1.53,1.53,0,2.56,1.09,1.53,0
23,2.56,2.56,1.03,1.09,2.56,2.12,0.51,0
24,2.12,2.56,2.56,1.03,2.12,2.12,1.53,1.68
25,2.56,1.68,1.68,2.56,2.12,2.12,1.09,0.59
27,2.12,1.68,2.12,1.68,1.68,2.12,1.09,1.09
28,2.12,1.09,1.09,0.44,2.56,1.09,1.53,0.51
29,1.09,0.51,0.59,0.51,2.12,2.12,2.12,0.51
30,2.12,1.09,0.51,1.09,2.56,1.53,1.68,1.68
31,2.12,2.12,0,1.09,2.12,2.12,2.12,1.68
32,2.12,2.56,2.12,1.53,2.56,0.51,1.53,0.59
33,2.56,2.12,0.51,-0.59,2.56,2.12,2.12,1.09
