PPT,UNF1,UNF2,FAM1,FAM2
105,13.69,50.7,13.27,27.84
106,11.69,50.6,12.1,37.3
107,23.69,66.05,11.07,69.12
110,8.46,31.53,12.05,18.53
111,13.1,30.89,16.94,31.97
113,14.76,35.69,10.65,47.55
114,17.33,48.43,15.56,44.09
115,10.98,46.38,13.3,28.5
117,15.33,46.98,10.93,38.87
118,18.21,32.32,12.62,31.55
119,26,28.88,17.16,82.66
121,15.61,54.03,12.45,50.42
122,26.13,41.37,15.19,63.99
123,12.3,30.09,29.93,51.89
124,20.45,65.8,18.11,50.4
125,10.88,39.44,10.35,20.14
126,15.97,31.66,10.85,49.77
127,10.33,43.31,21.24,39.92
129,11.14,37.83,20.82,36.54
131,15.78,60.48,13.53,54.92
132,9.65,23.03,11.77,31.77
133,9.76,19.61,13.28,27.12
134,8.97,37.13,18.87,38.54
137,8.66,32.39,19.93,36.95
138,17.34,40.2,23.63,47.95
141,9.77,46.92,15.65,36.05
201,16.27,61.14,31.93,47.27
202,15.55,46.55,10.91,35.59
203,12.04,36.72,15.2,45.16
204,15.88,32.57,11.47,36.75
205,13.29,71.1,33.62,65.62
207,10.04,69.08,36.87,36.3
208,21.89,47.26,11.98,28.39
210,9.36,32.01,10.22,43.84
212,20.42,61.26,31.53,59.94
215,14.13,43.85,15.81,42.14
216,10.9,68.01,14.15,60.77
217,17.79,64.74,25.98,61.94
218,10.12,43.65,21.02,46.5
219,8.58,30.68,14.52,34.45
222,24.54,36.76,14.71,35.69
225,16.41,54.44,20.24,67.78
226,30.48,99.95,17.02,70.22
227,22.53,32.09,9.77,32.31
228,24.35,78.44,13.86,54.99
230,16.07,52.11,14.9,25.84
232,16.91,30.2,12.25,44.54
233,7.84,23.01,9.26,17.05
234,6.22,23.39,10.04,30.77
235,7.23,30.37,8.49,32.91
236,19.33,29.16,14.46,41.21
238,12.29,50.14,11.48,77.41
239,15.59,76.6,12.23,44.03
242,15.32,51.26,17.51,57.09
243,11.84,27.33,15,115.62
244,17.77,42.48,14.86,25.22
