PPT,UNF_IM,UNF_ID,FAM_IM,FAM_ID
1,-0.131973363,0.927836853,0.65006186,0.800151097
2,1.878054623,0.421142647,2.634453735,2.996397374
3,1.198890263,0.421142647,1.289780493,2.317984955
4,1.956041316,1.959963985,2.030174093,3.24151555
6,1.059810217,1.118342751,0.27105341,2.319343377
7,3.604817611,1.959963985,3.24151555,3.289707254
9,2.030174093,1.281551566,2.634453735,3.919927969
10,2.681287016,1.644853627,1.71092314,2.484364497
11,0.194812156,1.059810217,0.923530595,2.319343377
12,1.683242467,0.777747616,2.072866779,3.604817611
13,1.421753856,1.094968337,2.681287016,3.24151555
14,2.030174093,1.094968337,2.801585218,3.24151555
15,2.123172799,1.094968337,2.345284451,3.604817611
16,0.63866757,1.028204462,1.956041316,2.317984955
17,0.927836853,0.63866757,1.059810217,1.516110984
18,2.16925414,1.162094736,2.16925414,3.604817611
20,0.800151097,1.028204462,1.289780493,2.317984955
21,2.996397374,2.030174093,2.634453735,2.926405192
25,1.805952078,0.456300767,1.259533161,2.317984955
26,2.563103131,1.155890219,2.317984955,2.801585218
27,1.71092314,1.407212912,1.3489795,1.71092314
28,1.956041316,1.366021746,2.345284451,2.486474861
29,2.486474861,1.059810217,3.604817611,2.801585218
35,1.289780493,0.63866757,0.58827413,0.909720979
36,1.198890263,0.524400513,2.486474861,1.683242467
37,1.956041316,1.2269417,1.560833902,3.604817611
38,1.059810217,0.909720979,2.319343377,1.198890263
41,1.3489795,0.506694206,1.560833902,2.634453735
42,1.2269417,1.51919228,2.319343377,2.996397374
45,2.484364497,0.678412419,2.484364497,0.923530595
48,1.770514974,0.896231099,2.123172799,1.878054623
49,2.996397374,1.198890263,3.24151555,3.919927969
50,2.926405192,1.028204462,1.683242467,2.681287016
51,1.516110984,1.285474234,1.366021746,1.435563472
52,1.956041316,1.805952078,1.366021746,3.24151555
53,2.16925414,0.27105341,1.644853627,2.16925414
54,0.63866757,0.524400513,0.317220721,0.927836853
55,2.681287016,1.89820073,2.319343377,2.563103131
56,2.317984955,2.926405192,2.801585218,2.801585218
57,1.289780493,1.560833902,1.666872032,2.563103131
58,1.036433389,1.028204462,0.927836853,1.036433389
59,2.317984955,1.3489795,1.805952078,1.878054623
60,2.072866779,1.534898669,2.123172799,3.919927969
61,2.123172799,1.028204462,2.317984955,2.486474861
62,1.959963985,0.715959887,2.030174093,2.319343377
65,1.366021746,1.878054623,1.289780493,2.996397374
66,3.604817611,2.123172799,2.486474861,2.996397374
67,2.123172799,1.516110984,1.71092314,3.604817611
68,1.89820073,1.878054623,2.634453735,3.289707254
69,1.956041316,0.27105341,2.16925414,3.919927969
70,2.484364497,1.048801025,1.805952078,2.926405192
