Order,ParticipantID,Unfamiliar dprime,Familiar dprime,Experiment
1,1,0.706666667,1.756666667,1
2,2,1.58,2.07,1
3,3,2.413333333,1.776666667,1
4,4,1.363333333,1.903333333,1
5,5,2.12,1.756666667,1
6,6,1.56,1.196666667,1
7,7,1.903333333,1.903333333,1
8,8,0.536666667,2.266666667,1
9,9,1.56,2.56,1
10,10,2.266666667,2.413333333,1
11,11,0.656666667,1.463333333,1
12,12,0.923333333,1.196666667,1
13,13,1.39,2.266666667,1
14,14,1.923333333,1.756666667,1
15,15,1.61,1.876666667,1
16,16,2.266666667,2.413333333,1
17,17,1.413333333,1.463333333,1
18,18,2.12,1.56,1
19,19,1.05,1.873333333,1
20,20,1.923333333,1.873333333,1
21,21,1.776666667,1.216666667,1
22,22,2.07,2.07,1
23,23,1.726666667,2.07,1
24,24,1.196666667,1.56,1
25,25,1.24,2.05,1
26,26,1.583333333,1.413333333,1
27,27,1.56,1.923333333,1
28,28,1.726666667,1.386666667,1
29,101,1.973333333,1.533333333,1
30,102,2.413333333,2.12,1
31,103,1.56,1.873333333,1
32,104,2.413333333,2.266666667,1
33,105,2.413333333,2.07,1
34,106,1.706666667,1.756666667,1
35,107,1.726666667,2.266666667,1
36,108,1.726666667,1.706666667,1
37,109,2.12,1.923333333,1
38,110,1.923333333,2.216666667,1
39,111,2.12,1.923333333,1
40,112,2.07,0.923333333,1
41,113,1.56,1.876666667,1
42,114,2.12,1.903333333,1
43,115,2.266666667,2.413333333,1
44,116,0.196666667,1.413333333,1
45,117,1.363333333,1.776666667,1
46,118,1.923333333,2.216666667,1
47,119,1.923333333,1.756666667,1
48,120,1.366666667,1.07,1
49,121,1.776666667,2.266666667,1
50,122,1.73,1.973333333,1
51,123,1.56,1.903333333,1
52,124,2.413333333,1.923333333,1
53,125,1.923333333,1.56,1
54,126,1.413333333,1.07,1
55,127,2.12,1.776666667,1
56,128,0.536666667,1.61,1
57,101,1.05,0.483333333,2
58,102,1.776666667,1.58,2
59,103,1.19,1.56,2
60,104,1.58,1.1,2
61,105,1.413333333,1.756666667,2
62,106,1.433333333,2.07,2
63,107,1.413333333,1.726666667,2
64,108,1.216666667,1.63,2
65,109,1.776666667,0.706666667,2
66,110,0,1.973333333,2
67,111,1.58,1.61,2
68,112,1.436666667,1.923333333,2
69,113,0.726666667,1.776666667,2
70,114,0.876666667,1.826666667,2
71,115,1.726666667,1.776666667,2
72,116,1.196666667,1.58,2
73,117,1.776666667,0.51,2
74,118,1.386666667,1.216666667,2
75,119,1.413333333,0.656666667,2
76,120,1.436666667,1.1,2
77,121,1.24,1.266666667,2
78,122,1.09,1.05,2
79,123,0.876666667,0.853333333,2
80,124,2.12,1.433333333,2
81,125,1.56,2.266666667,2
82,126,1.436666667,1.09,2
83,127,1.07,1.363333333,2
84,128,0.873333333,1.54,2
85,129,0.146666667,0.363333333,2
86,130,0.903333333,1.58,2
87,131,1.583333333,1.246666667,2
88,132,0.876666667,1.216666667,2
89,133,1.07,1.093333333,2
90,134,2.07,1.433333333,2
91,135,0.51,0.706666667,2
92,136,0.756666667,1.05,2
93,137,1.393333333,1.923333333,2
94,138,1.363333333,1.196666667,2
95,139,2.56,2.07,2
96,140,2.07,1.726666667,2
97,141,0.706666667,1.216666667,2
98,142,1.63,1.58,2
99,143,1.07,0.873333333,2
100,144,0.853333333,1.58,2
101,145,1.433333333,1.1,2
102,146,0.49,1,2
103,147,2.07,1.413333333,2
104,148,1.826666667,1.58,2
105,149,1.923333333,2.05,2
106,150,1.363333333,1.363333333,2
107,151,1.706666667,1.973333333,2
108,152,1.236666667,0.853333333,2
109,153,1.923333333,1.216666667,2
110,154,1.63,1.973333333,2
111,155,1.196666667,1.393333333,2
112,156,0.683333333,1.216666667,2
113,1,2.12,1.465,3
114,2,1.59,1.81,3
115,3,1.8625,1.5525,3
116,4,1.685,1.5525,3
117,5,1.0575,1.5675,3
118,6,1.7,2.34,3
119,7,1.4575,1.185,3
120,8,1.9725,1.68,3
121,9,1.9725,1.2975,3
122,10,2.23,1.3125,3
123,11,1.7175,0.6925,3
124,12,1.81,1.68,3
125,13,1.9375,1.7175,3
126,14,1.17,1.59,3
127,15,2.1925,1.295,3
128,16,0.95,1.935,3
129,17,1.0225,1.295,3
130,18,1.81,1.2975,3
131,19,2.0675,1.8625,3
132,20,2.12,1.48,3
133,21,1.9,1.495,3
134,22,1.185,1.4225,3
135,23,0.675,1.7175,3
136,24,1.2025,1.8625,3
137,25,1.3325,2.01,3
138,26,2.0825,1.2975,3
139,27,1.15,1.2975,3
140,101,1.2075,1.7,3
141,102,1.3175,0.95,3
142,103,1.9575,1.8475,3
143,104,1.7175,1.7,3
144,105,2.0825,1.6275,3
145,106,1.8275,1.2975,3
146,107,1.535,1.15,3
147,108,1.6625,2.1925,3
148,109,2.1925,1.935,3
149,110,2.0825,1.59,3
150,111,1.9575,1.8275,3
151,112,1.8475,0.84,3
152,113,1.825,1.59,3
153,114,1.7175,1.405,3
154,115,2.12,2.1925,3
155,116,0.8025,1.825,3
156,117,1.4425,1.68,3
157,118,1.6275,1.515,3
158,119,1.8625,1.9725,3
159,120,0.82,1.495,3
160,121,1.7,1.935,3
161,122,1.1325,1.0225,3
162,123,1.9725,1.3325,3
163,124,1.2825,1.8475,3
164,101,-0.131973363,0.65006186,5
165,102,1.878054623,2.634453735,5
166,103,1.198890263,1.289780493,5
167,104,1.956041316,2.030174093,5
168,105,1.059810217,0.27105341,5
169,106,3.604817611,3.24151555,5
170,107,2.030174093,2.634453735,5
171,108,2.681287016,1.71092314,5
172,109,0.194812156,0.923530595,5
173,110,1.683242467,2.072866779,5
174,111,1.421753856,2.681287016,5
175,112,2.030174093,2.801585218,5
176,113,2.123172799,2.345284451,5
177,114,0.63866757,1.956041316,5
178,115,0.927836853,1.059810217,5
179,116,2.16925414,2.16925414,5
180,117,0.800151097,1.289780493,5
181,118,2.996397374,2.634453735,5
182,119,1.805952078,1.259533161,5
183,120,2.563103131,2.317984955,5
184,121,1.71092314,1.3489795,5
185,122,1.956041316,2.345284451,5
186,123,2.486474861,3.604817611,5
187,124,1.289780493,0.58827413,5
188,125,1.198890263,2.486474861,5
189,126,1.956041316,1.560833902,5
190,127,1.059810217,2.319343377,5
191,128,1.3489795,1.560833902,5
192,129,1.2269417,2.319343377,5
193,130,2.484364497,2.484364497,5
194,131,1.770514974,2.123172799,5
195,132,2.996397374,3.24151555,5
196,133,2.926405192,1.683242467,5
197,134,1.516110984,1.366021746,5
198,135,1.956041316,1.366021746,5
199,136,2.16925414,1.644853627,5
200,137,0.63866757,0.317220721,5
201,138,2.681287016,2.319343377,5
202,139,2.317984955,2.801585218,5
203,140,1.289780493,1.666872032,5
204,141,1.036433389,0.927836853,5
205,142,2.317984955,1.805952078,5
206,143,2.072866779,2.123172799,5
207,144,2.123172799,2.317984955,5
208,145,1.959963985,2.030174093,5
209,146,1.366021746,1.289780493,5
210,147,3.604817611,2.486474861,5
211,148,2.123172799,1.71092314,5
212,149,1.89820073,2.634453735,5
213,150,1.956041316,2.16925414,5
214,151,2.484364497,1.805952078,5
